#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
KAF7235422.1         -          7tm_1                PF00001.26         0 1026.5 252.9   6.6e-37  127.4  20.5  11.5  11   0   0  11  11  11  11 Craniofacial development protein 2 [Varanus komodoensis]
KAF7237959.1         -          7tm_1                PF00001.26  1.6e-191  634.2 167.5   5.6e-35  121.1  20.8   7.4   7   0   0   7   7   7   7 Olfactory receptor 5B21 [Varanus komodoensis]
KAF7235631.1         -          7tm_1                PF00001.26  1.5e-162  539.2 120.8   6.5e-34  117.6  21.5   5.8   5   0   0   5   5   5   5 Olfactory receptor 4M1, partial [Varanus komodoensis]
KAF7237974.1         -          7tm_1                PF00001.26  1.3e-150  500.1 128.5   5.5e-37  127.7  18.9   5.4   5   0   0   5   5   5   5 Olfactory receptor 13G1, partial [Varanus komodoensis]
KAF7244700.1         -          7tm_1                PF00001.26   1.2e-26   93.8  16.3   1.2e-26   93.8  16.3   1.5   2   0   0   2   2   1   1 Lysophosphatidic acid receptor 1 [Varanus komodoensis]
KAF7238011.1         -          7tm_1                PF00001.26   1.6e-26   93.3  21.9   1.6e-26   93.3  21.9   2.3   3   0   0   3   3   1   1 Olfactory receptor 14I1 [Varanus komodoensis]
KAF7247333.1         -          7tm_1                PF00001.26   3.7e-26   92.2  15.2   3.9e-25   88.8  15.2   1.9   1   1   0   1   1   1   1 RPE-retinal G protein-coupled receptor [Varanus komodoensis]
KAF7249351.1         -          7tm_1                PF00001.26   4.5e-26   91.9  13.8   5.4e-26   91.6  13.8   1.1   1   0   0   1   1   1   1 hypothetical protein EYD10_05025 [Varanus komodoensis]
KAF7244141.1         -          7tm_1                PF00001.26   8.6e-26   91.0  13.2   2.4e-25   89.5  13.2   1.7   1   1   0   1   1   1   1 Endothelin-1 receptor [Varanus komodoensis]
KAF7253855.1         -          7tm_1                PF00001.26   8.8e-26   90.9   2.7   1.1e-25   90.6   2.7   1.1   1   0   0   1   1   1   1 hypothetical protein EYD10_00823 [Varanus komodoensis]
KAF7243942.1         -          7tm_1                PF00001.26   1.3e-25   90.4  18.2   1.6e-25   90.0  18.2   1.2   1   0   0   1   1   1   1 Lysophosphatidic acid receptor 2 [Varanus komodoensis]
KAF7252709.1         -          7tm_1                PF00001.26   1.6e-25   90.1   3.8   2.8e-25   89.3   3.8   1.4   1   0   0   1   1   1   1 Neuromedin-K receptor [Varanus komodoensis]
KAF7242236.1         -          7tm_1                PF00001.26     6e-25   88.2   1.7   8.2e-25   87.8   1.7   1.2   1   0   0   1   1   1   1 hypothetical protein EYD10_11331 [Varanus komodoensis]
KAF7246690.1         -          7tm_1                PF00001.26     1e-24   87.5  25.3   4.9e-24   85.2  25.3   1.8   1   1   0   1   1   1   1 G-protein coupled receptor 22 [Varanus komodoensis]
KAF7239004.1         -          7tm_1                PF00001.26   3.4e-24   85.7  16.8   5.9e-24   84.9  16.8   1.4   1   0   0   1   1   1   1 G-protein coupled receptor 37-like 1 [Varanus komodoensis]
KAF7235991.1         -          7tm_1                PF00001.26   3.8e-24   85.6  12.1   5.6e-24   85.0  12.1   1.3   1   0   0   1   1   1   1 hypothetical protein EYD10_17221 [Varanus komodoensis]
KAF7250235.1         -          7tm_1                PF00001.26   5.6e-24   85.0   0.0   8.1e-24   84.5   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein EYD10_03901 [Varanus komodoensis]
KAF7234598.1         -          7tm_1                PF00001.26   7.8e-24   84.6   9.2   1.3e-23   83.8   9.2   1.3   1   1   0   1   1   1   1 Olfactory receptor 5V1 [Varanus komodoensis]
KAF7234564.1         -          7tm_1                PF00001.26   1.2e-23   83.9  21.2   3.8e-23   82.3  21.2   1.7   1   1   0   1   1   1   1 Olfactory receptor 10G6 [Varanus komodoensis]
KAF7241224.1         -          7tm_1                PF00001.26   1.7e-23   83.4   9.2   2.9e-23   82.7   9.2   1.3   1   0   0   1   1   1   1 Olfactory receptor 6V1 [Varanus komodoensis]
KAF7235151.1         -          7tm_1                PF00001.26   3.8e-23   82.3  11.9   4.9e-23   81.9  11.9   1.2   1   0   0   1   1   1   1 Olfactory receptor 12D1 [Varanus komodoensis]
KAF7235990.1         -          7tm_1                PF00001.26   5.1e-23   81.9  20.8   7.3e-23   81.4  20.8   1.1   1   0   0   1   1   1   1 Olfactory receptor 2G6 [Varanus komodoensis]
KAF7241762.1         -          7tm_1                PF00001.26   2.4e-22   79.7  18.0   2.9e-22   79.4  18.0   1.1   1   0   0   1   1   1   1 G-protein coupled bile acid receptor 1 [Varanus komodoensis]
KAF7244423.1         -          7tm_1                PF00001.26   5.8e-22   78.4   4.6   6.7e-22   78.2   4.6   1.1   1   0   0   1   1   1   1 Adenosine receptor A2b [Varanus komodoensis]
KAF7236907.1         -          7tm_1                PF00001.26   8.3e-22   77.9  22.9   1.3e-21   77.3  22.9   1.3   1   1   0   1   1   1   1 hypothetical protein EYD10_16368 [Varanus komodoensis]
KAF7240920.1         -          7tm_1                PF00001.26   1.3e-21   77.2  10.2   2.6e-21   76.3  10.2   1.5   1   0   0   1   1   1   1 Opsin-5 [Varanus komodoensis]
KAF7254666.1         -          7tm_1                PF00001.26   1.7e-21   76.9   0.7   3.1e-21   76.0   0.7   1.4   1   0   0   1   1   1   1 Gastrin-releasing peptide receptor [Varanus komodoensis]
KAF7237380.1         -          7tm_1                PF00001.26   2.1e-21   76.6  35.8     1e-14   54.7  20.5   3.0   2   1   0   2   2   2   2 Proto-oncogene Mas [Varanus komodoensis]
KAF7248142.1         -          7tm_1                PF00001.26   8.3e-21   74.6   4.1   3.9e-20   72.4   4.1   1.8   1   1   0   1   1   1   1 Cholecystokinin receptor type A [Varanus komodoensis]
KAF7246269.1         -          7tm_1                PF00001.26   1.6e-20   73.7   2.9   1.6e-20   73.7   2.9   1.5   2   0   0   2   2   1   1 Opsin-5 [Varanus komodoensis]
KAF7252295.1         -          7tm_1                PF00001.26   1.8e-20   73.5   9.4   1.8e-20   73.5   9.4   1.9   1   1   1   2   2   2   1 putative G-protein coupled receptor 75 [Varanus komodoensis]
KAF7238985.1         -          7tm_1                PF00001.26   7.1e-20   71.6   3.0   7.6e-20   71.5   2.0   1.5   2   0   0   2   2   1   1 Adenosine receptor A1 [Varanus komodoensis]
KAF7238914.1         -          7tm_1                PF00001.26   4.5e-19   68.9  21.0   4.5e-19   68.9  21.0   1.4   2   0   0   2   2   1   1 hypothetical protein EYD10_14397, partial [Varanus komodoensis]
KAF7248139.1         -          7tm_1                PF00001.26     5e-19   68.8   3.3   7.4e-19   68.2   3.3   1.2   1   0   0   1   1   1   1 Cholecystokinin receptor type A [Varanus komodoensis]
KAF7247550.1         -          7tm_1                PF00001.26   5.4e-19   68.7  11.2   3.9e-17   62.6  11.2   2.2   1   1   0   1   1   1   1 Opsin-VA [Varanus komodoensis]
KAF7235150.1         -          7tm_1                PF00001.26   2.1e-18   66.8   3.9   2.1e-18   66.8   3.9   1.7   2   0   0   2   2   1   1 Olfactory receptor 5G3, partial [Varanus komodoensis]
KAF7238100.1         -          7tm_1                PF00001.26   3.6e-18   66.0  13.5   5.4e-18   65.4  13.5   1.3   1   0   0   1   1   1   1 hypothetical protein EYD10_15186 [Varanus komodoensis]
KAF7237387.1         -          7tm_1                PF00001.26   6.6e-18   65.1  28.1   1.4e-17   64.1  26.3   2.2   1   1   0   1   1   1   1 Proto-oncogene Mas [Varanus komodoensis]
KAF7237379.1         -          7tm_1                PF00001.26     3e-17   63.0  28.7   8.5e-16   58.2  28.7   2.3   1   1   0   1   1   1   1 Mas-related G-protein coupled receptor member H [Varanus komodoensis]
KAF7237381.1         -          7tm_1                PF00001.26   6.9e-17   61.8  31.7   1.8e-15   57.2  29.9   2.6   2   1   0   2   2   1   1 Mas-related G-protein coupled receptor member H [Varanus komodoensis]
KAF7245193.1         -          7tm_1                PF00001.26   1.4e-16   60.8   1.4   1.8e-16   60.4   1.4   1.1   1   0   0   1   1   1   1 Galanin receptor type 1 [Varanus komodoensis]
KAF7238063.1         -          7tm_1                PF00001.26   7.2e-16   58.4  16.2     1e-15   57.9  16.2   1.2   1   0   0   1   1   1   1 Leucine-rich repeat-containing G-protein coupled receptor 5 [Varanus komodoensis]
KAF7237384.1         -          7tm_1                PF00001.26   1.9e-15   57.1  19.9     3e-14   53.2  19.9   2.2   1   1   0   1   1   1   1 Mas-related G-protein coupled receptor member H [Varanus komodoensis]
KAF7247185.1         -          7tm_1                PF00001.26   1.2e-14   54.4   2.5   1.7e-14   54.0   2.5   1.2   1   0   0   1   1   1   1 Melanopsin-A [Varanus komodoensis]
KAF7245435.1         -          7tm_1                PF00001.26   2.6e-14   53.4  17.2     4e-14   52.7  17.2   1.3   1   0   0   1   1   1   1 Leucine-rich repeat-containing G-protein coupled receptor 4 [Varanus komodoensis]
KAF7252723.1         -          7tm_1                PF00001.26   3.1e-14   53.1  18.1   4.4e-14   52.6  18.1   1.2   1   0   0   1   1   1   1 Olfactory receptor class A-like protein 4 [Varanus komodoensis]
KAF7246268.1         -          7tm_1                PF00001.26     1e-13   51.4   0.0   1.9e-13   50.5   0.0   1.4   1   1   0   1   1   1   1 Visual pigment-like receptor peropsin [Varanus komodoensis]
KAF7237388.1         -          7tm_1                PF00001.26   3.2e-13   49.8  29.7   2.6e-11   43.5  29.7   2.1   1   1   0   1   1   1   1 Mas-related G-protein coupled receptor member D [Varanus komodoensis]
KAF7243201.1         -          7tm_1                PF00001.26   6.6e-13   48.7   0.2   6.6e-13   48.7   0.2   1.1   1   0   0   1   1   1   1 Pinopsin [Varanus komodoensis]
KAF7237375.1         -          7tm_1                PF00001.26   7.1e-13   48.6  30.2   1.3e-12   47.8  30.2   1.4   1   1   0   1   1   1   1 Mas-related G-protein coupled receptor member H [Varanus komodoensis]
KAF7236010.1         -          7tm_1                PF00001.26   9.7e-13   48.2  13.0   1.5e-12   47.5  13.0   1.3   1   0   0   1   1   1   1 Olfactory receptor 10V1 [Varanus komodoensis]
KAF7236692.1         -          7tm_1                PF00001.26   1.4e-12   47.7   8.0   2.3e-12   47.0   8.0   1.3   1   0   0   1   1   1   1 Substance-P receptor [Varanus komodoensis]
KAF7237386.1         -          7tm_1                PF00001.26   1.5e-12   47.6  20.2   2.1e-11   43.8   7.3   2.3   1   1   1   2   2   2   1 Mas-related G-protein coupled receptor member H [Varanus komodoensis]
KAF7243920.1         -          7tm_1                PF00001.26     7e-12   45.4   2.0   9.4e-12   45.0   2.0   1.2   1   0   0   1   1   1   1 Olfactory receptor 1L8 [Varanus komodoensis]
KAF7253340.1         -          7tm_1                PF00001.26   1.3e-11   44.5   0.1   1.6e-11   44.2   0.1   1.1   1   0   0   1   1   1   1 Trace amine-associated receptor 5, partial [Varanus komodoensis]
KAF7253523.1         -          7tm_1                PF00001.26   1.7e-11   44.1  26.1     3e-11   43.3  26.1   1.4   1   0   0   1   1   1   1 Proto-oncogene Mas [Varanus komodoensis]
KAF7253517.1         -          7tm_1                PF00001.26     4e-11   42.9  63.6   2.4e-08   33.8  28.8   2.8   2   1   0   2   2   2   2 Proto-oncogene Mas, partial [Varanus komodoensis]
KAF7248830.1         -          7tm_1                PF00001.26   5.1e-11   42.5   5.2   8.7e-11   41.8   5.2   1.3   1   0   0   1   1   1   1 Neurotensin receptor type 1 [Varanus komodoensis]
KAF7238913.1         -          7tm_1                PF00001.26   2.9e-09   36.8  14.7   4.7e-09   36.1  14.7   1.3   1   0   0   1   1   1   1 Leucine-rich repeat-containing G-protein coupled receptor 6 [Varanus komodoensis]
KAF7237382.1         -          7tm_1                PF00001.26   7.8e-08   32.1   1.1   1.4e-07   31.3   1.1   1.4   1   0   0   1   1   1   1 Mas-related G-protein coupled receptor member H [Varanus komodoensis]
KAF7243811.1         -          7tm_1                PF00001.26   1.5e-07   31.2   8.7   1.3e-05   24.8   4.8   2.0   1   1   1   2   2   2   1 Olfactory receptor 1K1 [Varanus komodoensis]
KAF7242568.1         -          7tm_1                PF00001.26   1.9e-05   24.3  22.7   1.9e-05   24.3  22.7   1.9   1   1   1   2   2   1   1 hypothetical protein EYD10_11034 [Varanus komodoensis]
KAF7246465.1         -          7tm_1                PF00001.26   7.4e-05   22.4   0.0     9e-05   22.1   0.0   1.3   1   0   0   1   1   1   1 putative G-protein coupled receptor 85 [Varanus komodoensis]
KAF7242115.1         -          7tm_1                PF00001.26   0.00011   21.9   0.1   0.00011   21.9   0.1   1.6   2   0   0   2   2   1   1 Alpha-1A adrenergic receptor [Varanus komodoensis]
KAF7238612.1         -          7tm_1                PF00001.26    0.0019   17.7   7.8      0.13   11.7   0.2   2.7   3   0   0   3   3   2   2 Serum amyloid P-component [Varanus komodoensis]
KAF7238750.1         -          7tm_1                PF00001.26    0.0052   16.3   1.3    0.0068   15.9   1.3   1.1   1   0   0   1   1   1   1 hypothetical protein EYD10_14450 [Varanus komodoensis]
KAF7239479.1         -          7tm_1                PF00001.26     0.025   14.1   0.0     0.042   13.3   0.0   1.3   1   0   0   1   1   1   0 Opsin-5 [Varanus komodoensis]
KAF7244781.1         -          7tm_1                PF00001.26     0.043   13.3   0.1     0.063   12.7   0.1   1.2   1   0   0   1   1   1   0 V-set and immunoglobulin domain-containing protein 1 [Varanus komodoensis]
KAF7245583.1         -          7tm_1                PF00001.26     0.086   12.3   0.0      0.09   12.3   0.0   1.1   1   0   0   1   1   1   0 Lymphatic vessel endothelial hyaluronic acid receptor 1 [Varanus komodoensis]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      PF00001.hmm
# Target file:     ncbi_dataset/data/GCA_004798865.1/protein.faa
# Option settings: hmmsearch --tblout PF00001_results_varan.tbl PF00001.hmm ncbi_dataset/data/GCA_004798865.1/protein.faa 
# Current dir:     /home/kklimov/classes/class_6
# Date:            Fri Mar 28 21:15:06 2025
# [ok]
